,id,price,date_stamp,journal_id
136,8827,2145.0,2016-08-11,2049-3258
137,8828,2740.0,2016-08-11,1478-6362
138,8829,2145.0,2016-08-11,1447-056X
139,8830,2145.0,2016-08-11,2054-7064
140,8831,2145.0,2016-08-11,2051-4190
141,8832,2145.0,2016-08-11,1751-0759
142,8833,2145.0,2016-08-11,1471-2253
143,8834,2145.0,2016-08-11,1471-2261
144,8835,2145.0,2016-08-11,1472-6890
145,8836,2145.0,2016-08-11,1472-6882
146,8837,2145.0,2016-08-11,1471-5945
147,8838,2145.0,2016-08-11,1472-6815
148,8839,2145.0,2016-08-11,1471-227X
149,8840,2145.0,2016-08-11,1472-6823
150,8841,2145.0,2016-08-11,1471-2296
151,8842,2145.0,2016-08-11,1471-230X
152,8843,2145.0,2016-08-11,1471-2318
153,8844,2145.0,2016-08-11,1472-6963
154,8845,2145.0,2016-08-11,2052-1839
155,8846,2145.0,2016-08-11,1471-2334
156,8847,2145.0,2016-08-11,1472-698X
157,8848,2145.0,2016-08-11,1471-2342
158,8849,2145.0,2016-08-11,1472-6947
159,8850,2145.0,2016-08-11,1471-2288
160,8851,2785.0,2016-08-11,1741-7015
161,8852,2145.0,2016-08-11,1471-2474
162,8853,2145.0,2016-08-11,1471-2369
163,8854,2145.0,2016-08-11,1471-2377
164,8855,2145.0,2016-08-11,1472-6955
165,8856,2145.0,2016-08-11,2055-0928
166,8857,2145.0,2016-08-11,2052-9538
167,8858,2145.0,2016-08-11,1471-2415
168,8859,2145.0,2016-08-11,1472-684X
169,8860,2145.0,2016-08-11,1471-2431
170,8861,2145.0,2016-08-11,1471-2393
171,8862,2145.0,2016-08-11,1471-244X
172,8863,2145.0,2016-08-11,1471-2458
173,8864,2145.0,2016-08-11,1471-2466
174,8865,2145.0,2016-08-11,2052-1847
175,8866,2145.0,2016-08-11,1471-2482
176,8867,2145.0,2016-08-11,1471-2490
177,8868,2145.0,2016-08-11,1746-6148
178,8869,2145.0,2016-08-11,1472-6874
179,8870,1261.1475594405597,2016-08-11,2051-6673
180,8871,1261.1475594405597,2016-08-11,2321-3876
181,8872,2145.0,2016-08-11,1470-7330
182,8873,2145.0,2016-08-11,2059-7347
183,8874,2075.0,2016-08-11,2057-3804
184,8875,2410.0,2016-08-11,1475-2840
185,8876,2145.0,2016-08-11,1476-7120
